1000:11160,9957,10306,9831,12395,11136,10752,11294,10700,10670,11608,10860,11177,10116,11005,11082,9821,9759,10231,10529,10768,9756,10341,10852,9932,10143,9979,11317,10222,10360,10088,10825,10617,12087,10040,9883,11007,10838,11900,12444,9849,9690,10575,10954,10816,11601,10585,10277,10817,10345,10428,11578,10443,10112,11082,9680,10722,11184,10372,10566,9963,11792,9633,10478,10685,9810,10134,10255,10386,11061,10587,9953,10103,10779,10043,10557,10576,10674,10667,10437,10082,10704,12251,10276,9722,10939,9500,12423,10206,10252,10392,11811,11328,10663,10109,10689,9950,10935,10278,10027,
2000:23502,22178,25807,23860,21983,23210,26145,24046,22266,24425,25466,22755,23081,23885,24366,23982,24390,24864,25455,27694,24487,25344,25973,24246,22660,25288,23982,24012,26178,22459,24574,26953,27803,23222,26736,23292,22594,22968,23822,23365,25906,27691,22797,23386,23613,23277,25244,24226,23347,24165,24591,22405,24386,23465,23791,24258,24088,21806,26297,25025,24454,24947,23857,24112,24795,24679,24044,23279,22576,25579,22828,25276,23712,23203,23721,27382,24833,24474,24243,22321,23664,23240,23376,24172,23114,26850,27117,22033,23597,23886,26778,22931,24207,24015,22812,25357,22865,24607,26695,24502,
3000:36828,37389,38817,39751,42727,43278,38025,38240,36233,38523,37388,35754,41711,41375,39887,34870,37055,37619,37953,39206,37400,36892,41081,36168,38677,40969,40819,36434,40329,37881,39427,40673,36892,43717,40198,37352,38456,37026,36269,42105,39487,38714,38611,37938,37859,39625,41715,37023,39595,37046,36513,36511,39777,36470,37554,37729,36826,38548,39581,36813,38948,35840,40260,38866,37698,40485,41300,40363,38325,39747,36789,40538,38278,40736,37324,36778,38396,39387,37664,38873,37112,39594,36355,38340,36400,41298,42042,39161,35882,38190,36168,36803,39139,38514,38282,39496,38193,36488,37031,39693,
4000:54104,51296,56534,57102,53676,51659,56251,51193,50595,54838,53962,55651,53642,49854,53089,52246,54273,52727,51575,52940,54883,60180,51744,52977,50404,55439,53431,57747,51694,51024,51579,52208,51912,51417,54100,53815,51200,49542,55179,51173,50907,55738,54525,53652,56959,51677,51786,51639,51150,52559,55776,57451,54602,53605,51081,52349,50810,56286,52955,51239,52434,54778,52993,52831,55415,55117,54129,49879,54871,52755,53297,50019,53438,55598,53652,55827,51018,57453,51452,51853,53695,51363,58278,52096,52307,54966,57147,54704,56441,56720,54210,53311,56198,54796,55003,52597,56398,50757,49895,61407,
5000:70109,70093,69523,71493,66150,69568,73750,73775,66962,73041,63202,67065,67682,71546,70497,64318,66491,67014,74920,71394,68067,64640,73560,71936,68688,70698,69824,66614,64028,66576,70141,72371,66039,66926,67011,66590,68215,71099,67518,67460,71629,66500,75788,67417,64974,67724,71113,65993,69678,75251,72885,67508,75292,67960,68570,79884,76579,66753,69607,63724,70345,67556,71071,72875,73042,70764,70870,74052,70477,68757,77066,65825,70766,71231,71437,71024,68961,70598,68872,68158,64703,68913,67291,69758,64956,67583,66690,73422,69910,69408,69970,65546,69091,75871,68897,71103,67065,69643,68421,73302,
6000:84929,81529,90143,83941,82484,83360,81675,89153,85910,80132,77600,85617,84418,81619,80709,88405,81401,88593,85448,80891,83689,83717,85470,82423,83020,84770,89023,85277,83965,81646,83366,82701,90073,87073,93069,81910,88887,82851,84292,83856,80638,83250,97601,87074,86156,81513,82925,88962,85894,85911,87227,86404,90036,84098,79389,82695,93598,86081,84270,86029,79806,82139,86487,87889,86456,89292,88437,87967,84771,83690,91732,80036,84824,79501,82554,83992,93448,82543,85588,81660,86745,82788,82054,82890,83727,89312,86800,84086,89593,86050,85640,87430,86512,80964,83286,87195,84031,97932,82645,87702,
7000:100068,102928,105866,94859,105923,109940,98674,100467,100390,98194,99927,105076,113017,105024,96740,99365,95692,101358,96717,105827,98503,102450,106412,99320,101331,98116,99822,104735,102953,102886,100343,95353,116376,99013,94975,98523,96358,102667,103957,104420,100215,106557,100916,105307,100334,99067,94107,102155,99041,97375,107483,105271,111847,97902,106278,99450,100239,97388,106415,96735,96803,101301,104533,101122,101011,97178,96322,104725,102689,99335,101738,104552,105484,98293,103652,94054,110456,98352,97166,102161,104901,104855,99892,98803,99165,93942,110306,97562,95963,98047,113766,105046,101694,98252,101443,101331,101304,100060,103494,107348,
8000:118245,116489,124357,117492,125440,125284,122455,117011,111441,114282,117366,111648,116301,115106,111098,122230,118789,113465,118004,113633,115439,111446,118540,114817,110309,127586,114062,112167,112167,122547,120693,109217,113553,112138,120201,111732,124657,119434,114837,124328,110183,119072,115671,120470,118571,119072,119277,131787,110396,114212,116353,115056,116411,116988,127992,111485,121422,123103,124506,113974,117158,119841,121481,116765,125757,120694,116745,116546,119678,114743,110211,120064,138860,112757,115909,115547,113981,118227,125859,109513,118088,115330,118809,116366,110274,112827,119780,112990,116164,114029,126651,121619,127582,117259,121301,114475,120149,120754,116213,113660,
9000:134899,130335,128611,139432,136059,139041,132879,143746,140734,130434,140285,142665,132808,128401,126333,127221,132245,146153,125845,133328,144311,132311,137783,128944,133141,136280,136137,141949,131822,137017,137038,146232,136244,132927,135464,139586,129137,141248,133489,137070,133573,132061,135294,142102,133365,136526,130628,139195,136162,133408,132428,133330,134953,137537,141977,134307,135075,139544,138698,135454,131575,147791,136659,139049,130029,137555,135833,138336,126781,141471,148356,132780,135765,134755,132818,130375,135737,132947,142214,141160,139541,131397,132049,132387,145738,138387,141843,145459,128164,137978,141029,133790,134675,144628,134363,123623,135982,133809,133746,134243,
10000:149895,153278,158527,148796,155481,155423,147578,148856,144508,159175,171144,146271,154800,165883,148625,149120,147174,152408,158551,157000,151769,146412,153717,154787,146109,145260,152196,146715,158710,146501,147486,157019,147340,143094,153616,149555,148823,165759,150046,149357,165177,145423,157624,154864,159655,149505,146215,159413,160492,151116,153147,160218,148087,149530,153074,159148,154623,153527,152185,158162,146597,145367,156490,157080,151590,157363,150015,155802,150825,151483,160506,147210,154885,154867,149577,152956,145523,145706,156192,150536,144803,153745,146929,153717,145163,148211,151619,174501,147169,141400,150666,149506,154378,163045,148878,152191,144443,160991,151836,161932,
